"co_cid";"no_cid"
"V154";"Ciclista traum. em col. com trem ou veíc. ferroviário - condutor traumat. em acidente de trânsito"
"V155";"Ciclista traum. em col. com trem ou veíc. ferroviário - passageiro traumat. em acidente de trânsito"
"V159";"Ciclista traum. em col. com trem ou veíc. ferroviário - cicl. não espec. traumat. em acid. trânsito"
"V16 ";"Ciclista traumatizado em colisão com outro veículo não-motorizado"
"V160";"Ciclista traum. em col. com veículo não-motorizado - condutor traum. em acidente ñ-trânsito"
"V161";"Ciclista traum. em col. com veículo não-motorizado - passag. traum. em acidente ñ-trânsito"
"V162";"Ciclista traum. em col. com veículo não-motorizado - cicl. não espec. traum. em acid. não-trâns."
"V163";"Ciclista traum. em col. com veículo não-motorizado - pessoa traumat. ao subir/descer do veículo"
"V164";"Ciclista traum. em col. com veículo não-motorizado - condutor traumat. em acidente de trânsito"
"V165";"Ciclista traum. em col. com veículo não-motorizado - passageiro traumat. em acidente de trânsito"
"V169";"Ciclista traum. em col. com veículo não-motorizado - cicl. não espec. traumat. em acid. trânsito"
"V17 ";"Ciclista traumatizado em colisão com um objeto fixo ou parado"
"V170";"Ciclista traum. em col. com objeto fixo ou parado - condutor traum. em acidente ñ-trânsito"
"V171";"Ciclista traum. em col. com objeto fixo ou parado - passag. traum. em acidente ñ-trânsito"
"V172";"Ciclista traum. em col. com objeto fixo ou parado - cicl. não espec. traum. em acid. não-trâns."
"V173";"Ciclista traum. em col. com objeto fixo ou parado - pessoa traumat. ao subir/descer do veículo"
"V174";"Ciclista traum. em col. com objeto fixo ou parado - condutor traumat. em acidente de trânsito"
"V175";"Ciclista traum. em col. com objeto fixo ou parado - passageiro traumat. em acidente de trânsito"
"V179";"Ciclista traum. em col. com objeto fixo ou parado - cicl. não espec. traumat. em acid. trânsito"
"V18 ";"Ciclista traumatizado em um acidente de transporte sem colisão"
"V180";"Ciclista traum. em acid. de transporte s/colisão - condutor traumat. em acidente ñ-trânsito"
"V181";"Ciclista traum. em acid. de transporte s/colisão - passageiro traumat. em acidente ñ-trânsito"
"V182";"Ciclista traum. em acid. de transporte s/colisão - ciclista ñ espec. traum. em acid. ñ-trânsito"
"V183";"Ciclista traum. em acid. de transporte s/colisão - pessoa traumatizada ao subir ou descer do veículo"
"V184";"Ciclista traum. em acid. de transporte s/colisão - condutor traumatizado em um acidente de trânsito"
"V185";"Ciclista traum. em acid. de transporte s/colisão - passageiro traumatizado em acidente trânsito"
"V189";"Ciclista traum. em acid. de transporte s/colisão - ciclista não espec. traumat. em acid. de trânsito"
"V19 ";"Ciclista traumatizado em outro acidente de transporte e em acidentes de transporte não especificados"
"V190";"Condutor traum. em col. c/outr. veíc. e c/veículos ñ espec., a motor, em um acidente ñ-trânsito"
"V191";"Passageiro traum. em col. c/outro veíc. e c/veíc. ñ espec., a motor, em um acidente ñ-trânsito"
"V192";"Ciclista não espec. traum. em col. c/out. veíc. e c/veíc. não espec. a motor, em acid. ñ-trânsito"
"V193";"Ciclista [qualquer] traumatizado em um acidente não especificado e ñ-trânsito"
"V194";"Condutor traum. em col. c/outr. veíc. e c/veíc. não especificado., a motor, em acidente de trânsito"
"V195";"Passageiro traum. em colisão c/outros veíc. e c/veíc. não especif., a motor, em acidente de trânsito"
"V196";"Ciclista não espec. traum. em colisão c/out. veíc. e c/veíc. não espec. a motor em acid. de trânsito"
"V198";"Ciclista [qualquer] traumatizado em outros acidentes de transporte especificados"
"V199";"Ciclista [qualquer] traumatizado em um acidente de trânsito não especificado"
"V20 ";"Motociclista traumatizado em colisão com um pedestre ou um animal"
"V200";"Motociclista traum. em col. c/pedestre/animal - condutor traumatizado em acidente ñ-trânsito"
"V201";"Motociclista traum. em col. c/pedestre/animal - passageiro traumatizado em acidente ñ-trânsito"
"V202";"Motociclista traum. em col. c/pedestre/animal - motocicl. não espec. traum. em acid. ñ-trânsito"
"V203";"Motociclista traum. em col. c/pedestre/animal - pessoa traumatizado ao subir ou descer do veículo"
"V204";"Motociclista traum. em col. c/pedestre/animal - condutor traumatizado em um acidente de trânsito"
"V205";"Motociclista traum. em col. c/pedestre/animal - passageiro traumatizado em um acidente de trânsito"
"V209";"Motociclista traum. em col. c/pedestre/animal - motocicl. não espec. traum. em acidente de trânsito"
"V21 ";"Motociclista traumatizado em colisão com um veículo a pedal"
"V210";"Motociclista traum. em col. c/veíc. a pedal - condutor traumatizado em acidente ñ-trânsito"
"V211";"Motociclista traum. em col. c/veíc. a pedal - passageiro traumatizado em acidente ñ-trânsito"
"V212";"Motociclista traum. em col. c/veíc. a pedal - motocicl. não espec. traum. em acid. ñ-trânsito"
"V213";"Motociclista traum. em col. c/veíc. a pedal - pessoa traumatizado ao subir ou descer do veículo"
"V214";"Motociclista traum. em col. c/veíc. a pedal - condutor traumatizado em um acidente de trânsito"
"V215";"Motociclista traum. em col. c/veíc. a pedal - passageiro traumatizado em um acidente de trânsito"
"V219";"Motociclista traum. em col. c/veíc. a pedal - motocicl. não espec. traum. em acidente de trânsito"
"V22 ";"Motociclista traumatizado em colisão com um veículo a motor de duas ou três rodas"
"V220";"Motociclista traum. em col. c/veíc. a motor de 2/3 rodas - condutor traum. em acid. ñ-trânsito"
"V221";"Motociclista traum. em col. c/veíc. a motor de 2/3 rodas - passageiro traum. em acid. ñ-trânsito"
"V222";"Motociclista traum. em col. c/veíc. a motor de 2/3 rodas - motocicl ñ espec traum acid ñ-trânsito"
"V223";"Motociclista traum. em col. c/veíc. a motor de 2/3 rodas - pessoa traumat. ao subir/descer veículo"
"V224";"Motociclista traum. em col. c/veíc. a motor de 2/3 rodas - condutor traum. em acidente de trânsito"
"V225";"Motociclista traum. em col. c/veíc. a motor de 2/3 rodas - passag. traum. em acidente de trânsito"
"V229";"Motociclista traum. em col. c/veíc. a motor de 2/3 rodas - motocicl ñ espec traum em acid trânsito"
"V23 ";"Motociclista traumatizado em colisão com um automóvel(carro), pick-up ou caminhonete"
"V230";"Motociclista traum. em col. c/carro, pick-up ou caminhon. - condutor traum. em acid. ñ-trânsito"
"V231";"Motociclista traum. em col. c/carro, pick-up ou caminhon. - passageiro traum. em acid. ñ-trânsito"
"V232";"Motociclista traum. em col. c/carro, pick-up ou caminhon. - motocicl ñ espec traum acid ñ-trânsito"
"V233";"Motociclista traum. em col. c/carro, pick-up ou caminhon. - pessoa traumat. ao subir/descer veículo"
"V234";"Motociclista traum. em col. c/carro, pick-up ou caminhon. - condutor traum. em acidente de trânsito"
"V235";"Motociclista traum. em col. c/carro, pick-up ou caminhon. - passag. traum. em acidente de trânsito"
"V239";"Motociclista traum. em col. c/carro, pick-up ou caminhon. - motocicl ñ espec traum em acid trânsito"
"V24 ";"Motociclista traumatizado em colisão com um veículo de transporte pesado ou um ônibus"
"V240";"Motociclista traum. em col. com transp. pesado ou ônibus - condutor traum. em acid. ñ-trânsito"
"V241";"Motociclista traum. em col. com transp. pesado ou ônibus - passageiro traum. em acid. ñ-trânsito"
"V242";"Motociclista traum. em col. com transp. pesado ou ônibus - motocicl ñ espec traum acid ñ-trânsito"
"V243";"Motociclista traum. em col. com transp. pesado ou ônibus - pessoa traumat. ao subir/descer veículo"
"V244";"Motociclista traum. em col. com transp. pesado ou ônibus - condutor traum. em acidente de trânsito"
"V245";"Motociclista traum. em col. com transp. pesado ou ônibus - passag. traum. em acidente de trânsito"
"V249";"Motociclista traum. em col. com transp. pesado ou ônibus - motocicl ñ espec traum em acid trânsito"
"V25 ";"Motociclista traumatizado em colisão com um trem ou um veículo ferroviário"
"V250";"Motociclista traum. em col. com trem/veículo ferroviário - condutor traum. em acid. ñ-trânsito"
"V251";"Motociclista traum. em col. com trem/veículo ferroviário - passageiro traum. em acid. ñ-trânsito"
"V252";"Motociclista traum. em col. com trem/veículo ferroviário - motocicl ñ espec traum acid ñ-trânsito"
"V253";"Motociclista traum. em col. com trem/veículo ferroviário - pessoa traumat. ao subir/descer veículo"
"V254";"Motociclista traum. em col. com trem/veículo ferroviário - condutor traum. em acidente de trânsito"
"V255";"Motociclista traum. em col. com trem/veículo ferroviário - passag. traum. em acidente de trânsito"
"V259";"Motociclista traum. em col. com trem/veículo ferroviário - motocicl ñ espec traum em acid trânsito"
"V26 ";"Motociclista traumatizado em colisão com outro veículo não-motorizado"
"V260";"Motociclista traum. em col. c/outro veíc. não-motorizado - condutor traum. em acid. ñ-trânsito"
"V261";"Motociclista traum. em col. c/outro veíc. não-motorizado - passageiro traum. em acid. ñ-trânsito"
"V262";"Motociclista traum. em col. c/outro veíc. não-motorizado - motocicl ñ espec traum acid ñ-trânsito"
"V263";"Motociclista traum. em col. c/outro veíc. não-motorizado - pessoa traumat. ao subir/descer veículo"
"V264";"Motociclista traum. em col. c/outro veíc. não-motorizado - condutor traum. em acidente de trânsito"
"V265";"Motociclista traum. em col. c/outro veíc. não-motorizado - passag. traum. em acidente de trânsito"
"V269";"Motociclista traum. em col. c/outro veíc. não-motorizado - motocicl ñ espec traum em acid trânsito"
"V27 ";"Motociclista traumatizado em colisão com um objeto fixo ou parado"
"V270";"Motociclista traum. em col. com um objeto fixo ou parado - condutor traum. em acid. ñ-trânsito"
"V271";"Motociclista traum. em col. com um objeto fixo ou parado - passageiro traum. em acid. ñ-trânsito"
"V272";"Motociclista traum. em col. com um objeto fixo ou parado - motocicl ñ espec traum acid ñ-trânsito"
"V273";"Motociclista traum. em col. com um objeto fixo ou parado - pessoa traumat. ao subir/descer veículo"
"V274";"Motociclista traum. em col. com um objeto fixo ou parado - condutor traum. em acidente de trânsito"
"V275";"Motociclista traum. em col. com um objeto fixo ou parado - passag. traum. em acidente de trânsito"
"V279";"Motociclista traum. em col. com um objeto fixo ou parado - motocicl ñ espec traum em acid trânsito"
"V28 ";"Motociclista traumatizado em um acidente de transporte sem colisão"
"V280";"Motociclista traum. em acidente de transporte sem colisão - condutor traum. em acid. ñ-trânsito"
"V281";"Motociclista traum. em acidente de transporte sem colisão - passageiro traum. em acid. ñ-trânsito"
"V282";"Motociclista traum. em acidente de transporte sem colisão - motocic ñ espec traum acid ñ-trânsito"
"V283";"Motociclista traum. em acidente de transporte sem colisão - pessoa traumat. ao subir/descer veículo"
"V284";"Motociclista traum. em acidente de transporte sem colisão - condutor traum. em acidente de trânsito"
"V285";"Motociclista traum. em acidente de transporte sem colisão - passag. traum. em acidente de trânsito"
"V289";"Motociclista traum. em acidente de transporte sem colisão - motocicl ñ espec traum em acid trânsito"
"V29 ";"Motociclista traumatizado em outros acidentes de transporte em acidentes transporte ne"
"V290";"Condutor traum. em colisão c/outros veíc. e c/veíc. não especif. a motor em acidente ñ-trânsito"
"V291";"Passageiro traum. em colisão c/outros veíc/ c/veíc/ não especif. a motor em acidente ñ-trânsito"
"V292";"Motociclista ñ espec. traum. em col. c/out. veíc. e c/veíc. ñ espec. a motor em acid. ñ-trânsito"
"V293";"Motociclista [qualquer] traumatizado em um acidente não especificado, ñ-trânsito"
"V294";"Condutor traum. em colisão c/outros veíc. e c/veíc. não especificado a motor em acidente de trânsito"
"V295";"Passageiro traum. em colisão c/outros veíc. e c/veíc. não especific. a motor em acidente de trânsito"
"V296";"Motociclista ñ espec. traum. em colisão c/outros veíc. e c/veíc. ñ espec. a motor em acid. trânsito"
"V298";"Motociclista [qualquer] traumatizado em outros acidentes de transporte especificados"
"V299";"Motociclista [qualquer] traumatizado em um acidente de trânsito não especificado"
"V30 ";"Ocupante de um triciclo motorizado traumatizado em colisão com um pedestre ou um animal"
"V300";"Ocupante tric. motor. traum. col. c/ped./animal - condutor traum. acid. ñ-trânsito"
"V301";"Ocupante tric. motor. traum. col. c/ped./animal - passag. traum. acid. ñ-trânsito"
"V302";"Ocupante tric. motor. traum. col. c/ped./animal - pess. viaj ext veíc. traum. acid. ñ-trânsito"
"V303";"Ocupante tric. motor. traum. col. c/ped./animal - ocup. ñ espec. tric. traum. acid. ñ-trânsito"
"V304";"Ocupante tric. motor. traum. col. c/ped./animal - pessoa traumatizada ao subir/descer veículo"
"V305";"Ocupante tric. motor. traum. col. c/ped./animal - condutor traumatizado em acidente de trânsito"
"V306";"Ocupante tric. motor. traum. col. c/ped./animal - passageiro traumatizado em acidente d trânsito"
"V307";"Ocupante tric. motor. traum. col. c/ped./animal - pess. viaj. ext. veíc. traum. acident trânsito"
"V309";"Ocupante tric. motor. traum. col. c/ped./animal - ocup. ñ espec. d tric. traum. acident trânsito"
"V31 ";"Ocupante de um triciclo motorizado traumatizado em colisão com um veículo a pedal"
"V310";"Ocupante tric. motor. traum. col. c/veíc. a pedal - condutor traum. acid. ñ-trânsito"
"V311";"Ocupante tric. motor. traum. col. c/veíc. a pedal - passag. traum. acid. ñ-trânsito"
"V312";"Ocupante tric. motor. traum. col. c/veíc. a pedal - pess. viaj ext veíc. traum. acid. ñ-trânsito"
"V313";"Ocupante tric. motor. traum. col. c/veíc. a pedal - ocup. ñ espec. tric. traum. acid. ñ-trânsito"
"V314";"Ocupante tric. motor. traum. col. c/veíc. a pedal - pessoa traumatizada ao subir/descer veículo"
"V315";"Ocupante tric. motor. traum. col. c/veíc. a pedal - condutor traumatizado em acidente de trânsito"
"V316";"Ocupante tric. motor. traum. col. c/veíc. a pedal - passageiro traumatizado em acidente d trânsito"
"V317";"Ocupante tric. motor. traum. col. c/veíc. a pedal - pess. viaj. ext. veíc. traum. acident trânsito"
"V319";"Ocupante tric. motor. traum. col. c/veíc. a pedal - ocup. ñ espec. d tric. traum. acident trânsito"
"V32 ";"Ocup de triciclo motorizado traumatizado em colisão c/ outro veículo a motor de duas ou três rodas"
"V320";"Ocupante tric. motor. traum. col. c/veíc. 2/3 rodas - condutor traum. acid. ñ-trânsito"
"V321";"Ocupante tric. motor. traum. col. c/veíc. 2/3 rodas - passag. traum. acid. ñ-trânsito"
"V322";"Ocupante tric. motor. traum. col. c/veíc. 2/3 rodas - pess. viaj. ext veíc traum. acid. ñ-trânsito"
"V323";"Ocupante tric. motor. traum. col. c/veíc. 2/3 rodas - ocup. ñ espec. tric. traum. acid. ñ-trânsito"
"V324";"Ocupante tric. motor. traum. col. c/veíc. 2/3 rodas - pessoa traumatizada ao subir/descer veículo"
"V325";"Ocupante tric. motor. traum. col. c/veíc. 2/3 rodas - condutor traumatizado em acidente de trânsito"
"V326";"Ocupante tric. motor. traum. col. c/veíc. 2/3 rodas - passageiro traumatizado em acidente d trânsito"
"V327";"Ocupante tric. motor. traum. col. c/veíc. 2/3 rodas - pess. viaj. ext. veíc. traum. acident trânsito"
"V329";"Ocupante tric. motor. traum. col. c/veíc. 2/3 rodas - ocup. ñ espec. d tric. traum. acident trânsito"
"V33 ";"Ocupante de um triciclo motorizado traumatizado em colisão com um automóvel, pick-up ou caminhonete"
"V330";"Ocupante tric. motor. traum. col. c/autom./pick-up - condutor traum. acid. ñ-trânsito"
"V331";"Ocupante tric. motor. traum. col. c/autom./pick-up - passag. traum. acid. ñ-trânsito"
"V332";"Ocupante tric. motor. traum. col. c/autom./pick-up - pess. viaj ext veíc. traum. acid. ñ-trânsito"
"V333";"Ocupante tric. motor. traum. col. c/autom./pick-up - ocup. ñ espec. tric. traum. acid. ñ-trânsito"
"V334";"Ocupante tric. motor. traum. col. c/autom./pick-up - pessoa traumatizada ao subir/descer veículo"
"V335";"Ocupante tric. motor. traum. col. c/autom./pick-up - condutor traumatizado em acidente de trânsito"
"V336";"Ocupante tric. motor. traum. col. c/autom./pick-up - passageiro traumatizado em acidente d trânsito"
"V337";"Ocupante tric. motor. traum. col. c/autom./pick-up - pess. viaj. ext. veíc. traum. acident trânsito"
"V339";"Ocupante tric. motor. traum. col. c/autom./pick-up - ocup. ñ espec. d tric. traum. acident trânsito"
"V34 ";"Ocup de triciclo motorizado traumatizado em colisão c/ veículo de transporte pesado ou um ônibus"
"V340";"Ocupante tric. motor. traum. col. c/transp. pesado - condutor traum. acid. ñ-trânsito"
"V341";"Ocupante tric. motor. traum. col. c/transp. pesado - passag. traum. acid. ñ-trânsito"
"V342";"Ocupante tric. motor. traum. col. c/transp. pesado - pess. viaj. ext veíc traum. acid. ñ-trânsito"
"V343";"Ocupante tric. motor. traum. col. c/transp. pesado - ocup. ñ espec. tric. traum. acid. ñ-trânsito"
"V344";"Ocupante tric. motor. traum. col. c/transp. pesado - pessoa traumatizada ao subir/descer veículo"
"V345";"Ocupante tric. motor. traum. col. c/transp. pesado - condutor traumatizado em acidente de trânsito"
"V346";"Ocupante tric. motor. traum. col. c/transp. pesado - passageiro traumatizado em acidente d trânsito"
"V347";"Ocupante tric. motor. traum. col. c/transp. pesado - pess. viaj. ext. veíc. traum. acident trânsito"
"V349";"Ocupante tric. motor. traum. col. c/transp. pesado - ocup. ñ espec. d tric. traum. acident trânsito"
"V35 ";"Ocupante de um triciclo motorizado traumatizado em colisão com um tremou um veículo ferroviário"
"V350";"Ocupante tric. motor. traum. col. c/veíc. ferrov. - condutor traum. acid. ñ-trânsito"
"V351";"Ocupante tric. motor. traum. col. c/veíc. ferrov. - passag. traum. acid. ñ-trânsito"
"V352";"Ocupante tric. motor. traum. col. c/veíc. ferrov. - pess. viaj ext veíc. traum. acid. ñ-trânsito"
"V353";"Ocupante tric. motor. traum. col. c/veíc. ferrov. - ocup. ñ espec. tric. traum. acid. ñ-trânsito"
"V354";"Ocupante tric. motor. traum. col. c/veíc. ferrov. - pessoa traumatizada ao subir/descer veículo"
"V355";"Ocupante tric. motor. traum. col. c/veíc. ferrov. - condutor traumatizado em acidente de trânsito"
"V356";"Ocupante tric. motor. traum. col. c/veíc. ferrov. - passageiro traumatizado em acidente d trânsito"
"V357";"Ocupante tric. motor. traum. col. c/veíc. ferrov. - pess. viaj. ext. veíc. traum. acident trânsito"
"V359";"Ocupante tric. motor. traum. col. c/veíc. ferrov. - ocup. ñ espec. d tric. traum. acident trânsito"
"V36 ";"Ocupante de um triciclo motorizado traumatizado em colisão com outro veículo não-motorizado"
"V360";"Ocupante tric. motor. traum. col. c/veíc. ñ-motor. - condutor traum. acid. ñ-trânsito"
"V361";"Ocupante tric. motor. traum. col. c/veíc. ñ-motor. - passag. traum. acid. ñ-trânsito"
"V362";"Ocupante tric. motor. traum. col. c/veíc. ñ-motor. - pess. viaj. ext veíc traum. acid. ñ-trânsito"
"V363";"Ocupante tric. motor. traum. col. c/veíc. ñ-motor. - ocup. ñ espec. tric. traum. acid. ñ-trânsito"
"V364";"Ocupante tric. motor. traum. col. c/veíc. ñ-motor. - pessoa traumatizada ao subir/descer veículo"
"V365";"Ocupante tric. motor. traum. col. c/veíc. ñ-motor. - condutor traumatizado em acidente de trânsito"
"V366";"Ocupante tric. motor. traum. col. c/veíc. ñ-motor. - passageiro traumatizado em acidente d trânsito"
"V367";"Ocupante tric. motor. traum. col. c/veíc. ñ-motor. - pess. viaj. ext. veíc. traum. acident trânsito"
"V369";"Ocupante tric. motor. traum. col. c/veíc. ñ-motor. - ocup. ñ espec. d tric. traum. acident trânsito"
"V37 ";"Ocupante de um triciclo motorizado traumatizado em colisão com um objeto fixo ou parado"
"V370";"Ocupante tric. motor. traum. col. c/obj. fixo/parado - condutor traum. acid. ñ-trânsito"
"V371";"Ocupante tric. motor. traum. col. c/obj. fixo/parado - passag. traum. acid. ñ-trânsito"
"V372";"Ocupante tric. motor. traum. col. c/obj. fixo/parado - pess. viaj ext veíc traum. acid. ñ-trânsito"
"V373";"Ocupante tric. motor. traum. col. c/obj. fixo/parado - ocup. ñ espec. tric traum. acid. ñ-trânsito"
"V374";"Ocupante tric. motor. traum. col. c/obj. fixo/parado - pessoa traumatizada ao subir/descer veículo"
"V375";"Ocupante tric. motor. traum. col. c/obj. fixo/parado - condutor traumatizado em acidente de trânsito"
"V376";"Ocupante tric. motor. traum. col. c/obj. fixo/parado - passageiro traumatizado em acid. trânsito"
"V377";"Ocupante tric. motor. traum. col. c/obj. fixo/parado - pess. viaj. ext. veíc. traum. acid. trânsito"
"V379";"Ocupante tric. motor. traum. col. c/obj. fixo/parado - ocup. ñ espec. d tric. traum. acid. trânsito"
"V38 ";"Ocupante de um triciclo motorizado traumatizado em um acidente de transporte sem colisão"
"V380";"Ocupante tric. motor. traum. acid. transp s/colisão - condutor traum. acid. ñ-trânsito"
"V381";"Ocupante tric. motor. traum. acid. transp s/colisão - passag. traum. acid. ñ-trânsito"
"V382";"Ocupante tric. motor. traum. acid. transp s/colisão - pess. viaj. ext veíc traum. acid. ñ-trânsito"
"V383";"Ocupante tric. motor. traum. acid. transp s/colisão - ocup. ñ espec. tric. traum. acid. ñ-trânsito"
"V384";"Ocupante tric. motor. traum. acid. transp s/colisão - pessoa traumatizada ao subir/descer veículo"
"V385";"Ocupante tric. motor. traum. acid. transp s/colisão - condutor traumatizado em acidente de trânsito"
"V386";"Ocupante tric. motor. traum. acid. transp s/colisão - passageiro traumatizado em acidente d trânsito"
"V387";"Ocupante tric. motor. traum. acid. transp s/colisão - pess. viaj. ext. veíc. traum. acident trânsito"
"V389";"Ocupante tric. motor. traum. acid. transp s/colisão - ocup. ñ espec. d tric. traum. acident trânsito"
"V39 ";"Ocupante triciclo motorizado traumatizado em acidente de transporte e em acidente de transporte ne"
"V390";"Condutor traum. em col. c/outr. veíc. e c/veíc. não especif. a motor em um acidente ñ-trânsito"
"V391";"Passageiro traum. em colisão c/outros veíc. e c/veíc. não espec. a motor em acidente ñ-trânsito"
"V392";"Ocupante ñ espec. de um tric. motor traum. em col. c/out. veíc. e c/veíc. motor em acid ñ-trânsito"
"V393";"Ocupante de um triciclo motorizado traumatizado em um acidente não especificado e ñ-trânsito"
"V394";"Condutor traum. em col. c/outr. veíc. e c/veíc. não especif. a motor em um acidente de trânsito"
"V395";"Passageiro traum. em colisão c/outros veíc. e c/veíc. não espec. a motor em acidente de trânsito"
"V396";"Ocupante não espec. de tric. motor traum. em col. c/out. veíc. não espec. a motor em acid. trânsito"
"V398";"Ocupante de um triciclo motorizado traumatizado em outros acidentes de trânsito especificados"
"V399";"Ocupante de um triciclo motorizado, traumatizado em acidente de trânsito não especificado"
"V40 ";"Ocupante de um automóvel (carro) traumatizado em colisão com um pedestre ou um animal"
"V400";"Ocupante de carro traum. em col. c/ped./animal - condutor traum. acid. ñ-trânsito"
"V401";"Ocupante de carro traum. em col. c/ped./animal - passag. traum. acid. ñ-trânsito"
"V402";"Ocupante de carro traum. em col. c/ped./animal - pess. viaj ext veíc. traum. acid. ñ-trânsito"
"V403";"Ocupante de carro traum. em col. c/ped./animal - ocup. ñ espec. tric. traum. acid. ñ-trânsito"
"V404";"Ocupante de carro traum. em col. c/ped./animal - pessoa traumatizada ao subir/descer veículo"
"V405";"Ocupante de carro traum. em col. c/ped./animal - condutor traumatizado em acidente de trânsito"
"V406";"Ocupante de carro traum. em col. c/ped./animal - passageiro traumatizado em acidente trânsito"
"V407";"Ocupante de carro traum. em col. c/ped./animal - pess. viaj. ext. veíc. traum. acident trânsito"
"V409";"Ocupante de carro traum. em col. c/ped./animal - ocup. ñ espec. do carro traum. acid. trânsito"
"V41 ";"Ocupante de um automóvel (carro) traumatizado em colisão com um veículo a pedal"
"V410";"Ocupante de carro traum. em col. c/veíc. pedal - condutor traum. acid. ñ-trânsito"
"V411";"Ocupante de carro traum. em col. c/veíc. pedal - passag. traum. acid. ñ-trânsito"
"V412";"Ocupante de carro traum. em col. c/veíc. pedal - pess. viaj ext veíc. traum. acid. ñ-trânsito"
"V413";"Ocupante de carro traum. em col. c/veíc. pedal - ocup. ñ espec. tric. traum. acid. ñ-trânsito"
"V414";"Ocupante de carro traum. em col. c/veíc. pedal - pessoa traumatizada ao subir/descer veículo"
"V415";"Ocupante de carro traum. em col. c/veíc. pedal - condutor traumatizado em acidente de trânsito"
"V416";"Ocupante de carro traum. em col. c/veíc. pedal - passageiro traumatizado em acidente trânsito"
"V417";"Ocupante de carro traum. em col. c/veíc. pedal - pess. viaj. ext. veíc. traum. acident trânsito"
"V419";"Ocupante de carro traum. em col. c/veíc. pedal - ocup. ñ espec. do carro traum. acid. trânsito"
"V42 ";"Ocupante de um automóvel traumatizado em colisão c/ outro veículo a motor de duas ou três rodas"
"V420";"Ocupante de carro traum. em col. c/veíc. 2/3 rodas - condutor traum. acid. ñ-trânsito"
"V421";"Ocupante de carro traum. em col. c/veíc. 2/3 rodas - passag. traum. acid. ñ-trânsito"
"V422";"Ocupante de carro traum. em col. c/veíc. 2/3 rodas - pess. viaj. ext veíc traum. acid. ñ-trânsito"
"V423";"Ocupante de carro traum. em col. c/veíc. 2/3 rodas - ocup. ñ espec. tric. traum. acid. ñ-trânsito"
"V424";"Ocupante de carro traum. em col. c/veíc. 2/3 rodas - pessoa traumatizada ao subir/descer veículo"
"V425";"Ocupante de carro traum. em col. c/veíc. 2/3 rodas - condutor traumatizado em acidente de trânsito"
"V426";"Ocupante de carro traum. em col. c/veíc. 2/3 rodas - passageiro traumatizado em acidente trânsito"
"V427";"Ocupante de carro traum. em col. c/veíc. 2/3 rodas - pess. viaj. ext. veíc. traum. acident trânsito"
"V429";"Ocupante de carro traum. em col. c/veíc. 2/3 rodas - ocup. ñ espec. do carro traum. acid. trânsito"
"V43 ";"Ocupante de um automóvel (carro) traumatizado em colisão com um automóvel, pick-up ou caminhonete"
"V430";"Ocupante de carro traum. em col. c/carro/pick-up - condutor traum. acid. ñ-trânsito"
"V431";"Ocupante de carro traum. em col. c/carro/pick-up - passag. traum. acid. ñ-trânsito"
"V432";"Ocupante de carro traum. em col. c/carro/pick-up - pess. viaj ext veíc. traum. acid. ñ-trânsito"
"V433";"Ocupante de carro traum. em col. c/carro/pick-up - ocup. ñ espec. tric. traum. acid. ñ-trânsito"
"V434";"Ocupante de carro traum. em col. c/carro/pick-up - pessoa traumatizada ao subir/descer veículo"
"V435";"Ocupante de carro traum. em col. c/carro/pick-up - condutor traumatizado em acidente de trânsito"
"V436";"Ocupante de carro traum. em col. c/carro/pick-up - passageiro traumatizado em acidente trânsito"
"V437";"Ocupante de carro traum. em col. c/carro/pick-up - pess. viaj. ext. veíc. traum. acident trânsito"
"V439";"Ocupante de carro traum. em col. c/carro/pick-up - ocup. ñ espec. do carro traum. acid. trânsito"
"V44 ";"Ocupante de automóvel traumatizado em colisão com um veículo de transporte pesado ou um ônibus"
"V440";"Ocupante de carro traum. em col. c/transp. pesado - condutor traum. acid. ñ-trânsito"
"V441";"Ocupante de carro traum. em col. c/transp. pesado - passag. traum. acid. ñ-trânsito"
"V442";"Ocupante de carro traum. em col. c/transp. pesado - pess. viaj ext veíc. traum. acid. ñ-trânsito"
"V443";"Ocupante de carro traum. em col. c/transp. pesado - ocup. ñ espec. tric. traum. acid. ñ-trânsito"
"V444";"Ocupante de carro traum. em col. c/transp. pesado - pessoa traumatizada ao subir/descer veículo"
"V445";"Ocupante de carro traum. em col. c/transp. pesado - condutor traumatizado em acidente de trânsito"
"V446";"Ocupante de carro traum. em col. c/transp. pesado - passageiro traumatizado em acidente trânsito"
"V447";"Ocupante de carro traum. em col. c/transp. pesado - pess. viaj. ext. veíc. traum. acid. trânsito"
"V449";"Ocupante de carro traum. em col. c/transp. pesado - ocup. ñ espec. do carro traum. acid. trânsito"
"V45 ";"Ocupante de automóvel traumatizado em colisão com um trem (comboio) ou um veículo ferroviário"
"V450";"Ocupante de carro traum. em col. c/veíc. ferrov. - condutor traum. acid. ñ-trânsito"
"V451";"Ocupante de carro traum. em col. c/veíc. ferrov. - passag. traum. acid. ñ-trânsito"
"V452";"Ocupante de carro traum. em col. c/veíc. ferrov. - pess. viaj ext veíc. traum. acid. ñ-trânsito"
"V453";"Ocupante de carro traum. em col. c/veíc. ferrov. - ocup. ñ espec. tric. traum. acid. ñ-trânsito"
"V454";"Ocupante de carro traum. em col. c/veíc. ferrov. - pessoa traumatizada ao subir/descer veículo"
