"co_grupo";"co_sub_grupo";"co_forma_organizacao";"co_procedimento";"no_procedimento"
"03";"04";"07";"0304070025";"QUIMIOTERAPIA DE CANCER NA INFÂNCIA E ADOLESCÊNCIA - 2ª LINHA                                                                                                                                                                                             "
"03";"04";"07";"0304070033";"QUIMIOTERAPIA DE CÂNCER NA INFÂNCIA E ADOLESCÊNCIA - 4ª LINHA                                                                                                                                                                                             "
"03";"04";"07";"0304070041";"QUIMIOTERAPIA DE CÂNCER NA INFÂNCIA E ADOLESCÊNCIA - 3ª LINHA                                                                                                                                                                                             "
"03";"04";"07";"0304070050";"QUIMIOTERAPIA DE ALTA DOSE DE OSTEOSSARCOMA NA INFÂNCIA E ADOLESCÊNCIA                                                                                                                                                                                    "
"03";"04";"07";"0304070068";"QUIMIOTERAPIA DE LEUCEMIA LINFOIDE/LINFOBLÁSTICA AGUDA E DE LINFOMA LINFOBLÁSTICO NA INFÂNCIA E ADOLESCÊNCIA.- 1ª LINHA  FASES TERAPÊUTICAS INICIAIS.                                                                                                    "
"03";"04";"07";"0304070076";"QUIMIOTERAPIA DE LEUCEMIA LINFOIDE/LINFOBLÁSTICA AGUDA E DE LINFOMA LINFOBLÁSTICO NA INFÂNCIA E ADOLESCÊNCIA.- 1ª LINHA  FASE DE MANUTENÇÃO.                                                                                                             "
"03";"04";"08";"0304080012";"FATOR ESTIMULANTE DO CRESCIMENTO DE COLÕNIAS DE GRANULÓCITOS / MACRÓFAGOS                                                                                                                                                                                 "
"03";"04";"08";"0304080020";"INTERNAÇÃO P/ QUIMIOTERAPIA DE ADMINISTRAÇÃO CONTÍNUA                                                                                                                                                                                                     "
"03";"04";"08";"0304080039";"INTERNAÇÃO P/ QUIMIOTERAPIA DE LEUCEMIAS AGUDAS / CRÔNICAS AGUDIZADAS                                                                                                                                                                                     "
"03";"04";"08";"0304080047";"QUIMIOTERAPIA INTRA-ARTERIAL                                                                                                                                                                                                                              "
"03";"04";"08";"0304080055";"QUIMIOTERAPIA INTRA-TECAL                                                                                                                                                                                                                                 "
"03";"04";"08";"0304080063";"QUIMIOTERAPIA INTRACAVITARIA                                                                                                                                                                                                                              "
"03";"04";"08";"0304080071";"INIBIDOR DA OSTEÓLISE                                                                                                                                                                                                                                     "
"03";"04";"09";"0304090018";"IODOTERAPIA DE CARCINOMA DIFERENCIADO DA TIREÓIDE (150 MCI)                                                                                                                                                                                               "
"03";"04";"09";"0304090026";"IODOTERAPIA DE CARCINOMA DIFERENCIADO DA TIREÓIDE (100 MCI)                                                                                                                                                                                               "
"03";"04";"09";"0304090034";"IODOTERAPIA DE CARCINOMA DIFERENCIADO DA TIREÓIDE (200 MCI)                                                                                                                                                                                               "
"03";"04";"09";"0304090042";"IODOTERAPIA DE CARCINOMA DIFERENCIADO DA TIREÓIDE (250 MCI)                                                                                                                                                                                               "
"03";"04";"09";"0304090050";"IODOTERAPIA DE CARCINOMA DIFERENCIADO DE TIREOIDE( 30mCi)                                                                                                                                                                                                 "
"03";"04";"09";"0304090069";"IODOTERAPIA DE CARCINOMA DIFERENCIADO DE TIREOIDE( 50mCi)                                                                                                                                                                                                 "
"03";"04";"10";"0304100013";"TRATAMENTO DE INTERCORRÊNCIAS CLÍNICAS DE PACIENTE ONCOLÓGICO                                                                                                                                                                                             "
"03";"04";"10";"0304100021";"TRATAMENTO CLÍNICO DE PACIENTE ONCOLÓGICO                                                                                                                                                                                                                 "
"03";"05";"01";"0305010018";"DIALISE PERITONEAL INTERMITENTE DPI (1 SESSAO POR SEMANA -EXCEPCIONALIDADE)                                                                                                                                                                               "
"03";"05";"01";"0305010026";"DIALISE PERITONEAL INTERMITENTE DPI (MAXIMO 2 SESSOES POR SEMANA)                                                                                                                                                                                         "
"03";"05";"01";"0305010034";"DIALISE PERITONEAL P/ PACIENTES RENAIS AGUDOS                                                                                                                                                                                                             "
"03";"05";"01";"0305010042";"HEMODIALISE CONTINUA                                                                                                                                                                                                                                      "
"03";"05";"01";"0305010093";"HEMODIÁLISE (MÁXIMO 1 SESSÃO POR SEMANA - EXCEPCIONALIDADE)                                                                                                                                                                                               "
"03";"05";"01";"0305010107";"HEMODIÁLISE (MÁXIMO 3 SESSÕES POR SEMANA)                                                                                                                                                                                                                 "
"03";"05";"01";"0305010115";"HEMODIÁLISE EM PACIENTE COM SOROLOGIA POSITIVA PARA HIV E/OU HEPATITE B E/OU HEPATITE C (MÁXIMO 3 SESSÕES POR SEMANA)                                                                                                                                     "
"03";"05";"01";"0305010123";"HEMODIÁLISE EM PACIENTE COM SOROLOGIA POSITIVA PARA HIV E/OU HEPATITE B E/OU HEPATITE C (EXCEPCIONALIDADE - MÁXIMO 1 SESSÃO / SEMANA)                                                                                                                     "
"03";"05";"01";"0305010131";"HEMODIALISE P/ PACIENTES RENAIS AGUDOS / CRONICOS AGUDIZADOS S/ TRATATAMENTO DIALITICO INICIADO                                                                                                                                                           "
"03";"05";"01";"0305010140";"HEMOFILTRACAO                                                                                                                                                                                                                                             "
"03";"05";"01";"0305010158";"HEMOFILTRACAO CONTINUA                                                                                                                                                                                                                                    "
"03";"05";"01";"0305010166";"MANUTENCAO E ACOMPANHAMENTO DOMICILIAR DE PACIENTE SUBMETIDO A DPA /DPAC                                                                                                                                                                                  "
"03";"05";"01";"0305010174";"TRATAMENTO DE INTERCORRENCIA EM PACIENTE RENAL CRONICO SOB TRATAMENTO DIALITICO ( POR DIA)                                                                                                                                                                "
"03";"05";"01";"0305010182";"TREINAMENTO DE PACIENTE SUBMETIDO A DIALISE PERITONEAL - DPAC-DPA (9 DIAS)                                                                                                                                                                                "
"03";"05";"01";"0305010190";"ULTRAFILTRACAO                                                                                                                                                                                                                                            "
"03";"05";"01";"0305010204";"HEMODIÁLISE PEDIÁTRICA (MÁXIMO 04 SESSÕES POR SEMANA)                                                                                                                                                                                                     "
"03";"05";"01";"0305010212";"IDENTIFICAÇÃO DE PACIENTE SOB TRATAMENTO DIALÍTICO EM TRÂNSITO                                                                                                                                                                                            "
"03";"05";"02";"0305020013";"TRATAMENTO DA PIELONEFRITE                                                                                                                                                                                                                                "
"03";"05";"02";"0305020021";"TRATAMENTO DE CALCULOSE RENAL                                                                                                                                                                                                                             "
"03";"05";"02";"0305020030";"TRATAMENTO DE HIPERTENSAO NEFROGENA E RENOVASCULAR                                                                                                                                                                                                        "
"03";"05";"02";"0305020048";"TRATAMENTO DE INSUFICIENCIA RENAL AGUDA                                                                                                                                                                                                                   "
"03";"05";"02";"0305020056";"TRATAMENTO DE INSUFICIENCIA RENAL CRONICA                                                                                                                                                                                                                 "
"03";"06";"01";"0306010011";"COLETA DE SANGUE P/ TRANSFUSAO                                                                                                                                                                                                                            "
"03";"06";"01";"0306010020";"COLETA DE SANGUE P/ TRANSFUSAO (C/ PROCESSADORA AUTOMATICA)                                                                                                                                                                                               "
"03";"06";"01";"0306010038";"TRIAGEM CLINICA DE DOADOR (A) DE SANGUE                                                                                                                                                                                                                   "
"03";"06";"02";"0306020017";"AFERESE TERAPEUTICA                                                                                                                                                                                                                                       "
"03";"06";"02";"0306020025";"APLICACAO DE FATOR IX DE COAGULACAO                                                                                                                                                                                                                       "
"03";"06";"02";"0306020033";"APLICACAO DE FATOR VIII DE COAGULACAO                                                                                                                                                                                                                     "
"03";"06";"02";"0306020041";"SANGRIA TERAPEUTICA                                                                                                                                                                                                                                       "
"03";"06";"02";"0306020050";"TRANSFUSAO DE CONCENTRADO DE GRANULOCITOS                                                                                                                                                                                                                 "
"03";"06";"02";"0306020068";"TRANSFUSAO DE CONCENTRADO DE HEMACIAS                                                                                                                                                                                                                     "
"03";"06";"02";"0306020076";"TRANSFUSAO DE CONCENTRADO DE PLAQUETAS                                                                                                                                                                                                                    "
"03";"06";"02";"0306020084";"TRANSFUSAO DE CRIOPRECIPITADO                                                                                                                                                                                                                             "
"03";"06";"02";"0306020092";"TRANSFUSAO DE PLAQUETAS POR AFERESE                                                                                                                                                                                                                       "
"03";"06";"02";"0306020106";"TRANSFUSAO DE PLASMA FRESCO                                                                                                                                                                                                                               "
"03";"06";"02";"0306020114";"TRANSFUSAO DE PLASMA ISENTO DE CRIOPRECIPITADO                                                                                                                                                                                                            "
"03";"06";"02";"0306020122";"TRANSFUSAO DE SANGUE / COMPONENTES IRRADIADOS                                                                                                                                                                                                             "
"03";"06";"02";"0306020130";"TRANSFUSAO DE SUBSTITUICAO / TROCA (EXSANGUINEOTRANSFUSÃO)                                                                                                                                                                                                "
"03";"06";"02";"0306020149";"TRANSFUSAO DE UNIDADE DE SANGUE TOTAL                                                                                                                                                                                                                     "
"03";"06";"02";"0306020157";"TRANSFUSAO FETAL INTRA-UTERINA                                                                                                                                                                                                                            "
"03";"07";"01";"0307010015";"CAPEAMENTO PULPAR                                                                                                                                                                                                                                         "
"03";"07";"01";"0307010023";"RESTAURAÇÃO DE DENTE DECÍDUO                                                                                                                                                                                                                              "
"03";"07";"01";"0307010031";"RESTAURAÇÃO DE DENTE PERMANENTE ANTERIOR                                                                                                                                                                                                                  "
"03";"07";"01";"0307010040";"RESTAURAÇÃO DE DENTE PERMANENTE POSTERIOR                                                                                                                                                                                                                 "
"03";"07";"01";"0307010058";"TRATAMENTO DE NEVRALGIAS FACIAIS                                                                                                                                                                                                                          "
"03";"07";"02";"0307020010";"ACESSO A POLPA DENTARIA E MEDICACAO (POR DENTE)                                                                                                                                                                                                           "
"03";"07";"02";"0307020029";"CURATIVO DE DEMORA C/ OU S/ PREPARO BIOMECANICO                                                                                                                                                                                                           "
"03";"07";"02";"0307020037";"OBTURAÇÃO DE DENTE DECÍDUO                                                                                                                                                                                                                                "
"03";"07";"02";"0307020045";"OBTURAÇÃO EM DENTE PERMANENTE BIRRADICULAR                                                                                                                                                                                                                "
"03";"07";"02";"0307020053";"OBTURAÇÃO EM DENTE PERMANENTE COM TRÊS OU MAIS RAÍZES                                                                                                                                                                                                     "
"03";"07";"02";"0307020061";"OBTURAÇÃO EM DENTE PERMANENTE UNIRRADICULAR                                                                                                                                                                                                               "
"03";"07";"02";"0307020070";"PULPOTOMIA DENTÁRIA                                                                                                                                                                                                                                       "
"03";"07";"02";"0307020088";"RETRATAMENTO ENDODÔNTICO EM DENTE PERMANENTE BI-RADICULAR                                                                                                                                                                                                 "
"03";"07";"02";"0307020096";"RETRATAMENTO ENDODÔNTICO EM DENTE PERMANENTE COM 3 OU MAIS RAÍZES                                                                                                                                                                                         "
"03";"07";"02";"0307020100";"RETRATAMENTO ENDODÔNTICO EM DENTE PERMANENTE UNI-RADICULAR                                                                                                                                                                                                "
"03";"07";"02";"0307020118";"SELAMENTO DE PERFURAÇÃO RADICULAR                                                                                                                                                                                                                         "
"03";"07";"03";"0307030024";"RASPAGEM ALISAMENTO SUBGENGIVAIS (POR SEXTANTE)                                                                                                                                                                                                           "
"03";"07";"03";"0307030032";"RASPAGEM CORONO-RADICULAR (POR SEXTANTE)                                                                                                                                                                                                                  "
"03";"07";"03";"0307030040";"PROFILAXIA / REMOÇÃO DA PLACA BACTERIANA                                                                                                                                                                                                                  "
"03";"07";"03";"0307030059";"RASPAGEM ALISAMENTO E POLIMENTO SUPRAGENGIVAIS (POR SEXTANTE)                                                                                                                                                                                             "
"03";"07";"04";"0307040011";"COLOCACAO DE PLACA DE MORDIDA                                                                                                                                                                                                                             "
"03";"07";"04";"0307040062";"MANUTENCAO PERIODICA DE PROTESE BUCO-MAXILO-FACIAL                                                                                                                                                                                                        "
"03";"07";"04";"0307040070";"MOLDAGEM DENTO-GENGIVAL P/ CONSTRUCAO DE PROTESE DENTARIA                                                                                                                                                                                                 "
"03";"07";"04";"0307040089";"REEMBASAMENTO E CONSERTO DE PROTESE DENTARIA                                                                                                                                                                                                              "
"03";"07";"04";"0307040100";"INSTALAÇÃO DE PRÓTESE EM PACIENTES COM ANOMALIAS CRÂNIO E BUCOMAXILOFACIAL                                                                                                                                                                                "
"03";"07";"04";"0307040119";"INSTALAÇÃO DE APARELHO ORTODÔNTICO/ORTOPÉDICO FIXO                                                                                                                                                                                                        "
"03";"07";"04";"0307040127";"MANUTENÇÃO/CONSERTO DE APARELHO ORTODÔNTICO/ORTOPÉDICO                                                                                                                                                                                                    "
"03";"07";"04";"0307040135";"CIMENTAÇÃO DE PRÓTESE DENTÁRIA                                                                                                                                                                                                                            "
"03";"07";"04";"0307040143";"ADAPTAÇÃO DE PRÓTESE DENTÁRIA                                                                                                                                                                                                                             "
"03";"07";"04";"0307040151";"AJUSTE OCLUSAL                                                                                                                                                                                                                                            "
"03";"07";"04";"0307040160";"INSTALAÇÃO DE PRÓTESE DENTÁRIA                                                                                                                                                                                                                            "
"03";"08";"01";"0308010019";"TRATAMENTO DE TRAUMATISMOS DE LOCALIZACAO ESPECIFICADA / NAO ESPECIFICADA                                                                                                                                                                                 "
"03";"08";"01";"0308010027";"TRATAMENTO DE EFEITOS DE ASFIXIA / OUTROS RISCOS A RESPIRACAO                                                                                                                                                                                             "
"03";"08";"01";"0308010035";"TRATAMENTO DE TRAUMATISMOS C/ LESAO DE ORGAO INTRA-TORACICO E INTRA-ABDOMINAL                                                                                                                                                                             "
"03";"08";"01";"0308010043";"TRATAMENTO DE TRAUMATISMOS ENVOLVENDO MULTIPLAS REGIOES DO CORPO                                                                                                                                                                                          "
"03";"08";"02";"0308020014";"HEMODIAFILTRACAO CONTINUA                                                                                                                                                                                                                                 "
"03";"08";"02";"0308020022";"TRATAMENTO DE EFEITOS DO CONTATO C/ ANIMAIS E PLANTAS VENENOSOS                                                                                                                                                                                           "
"03";"08";"02";"0308020030";"TRATAMENTO DE INTOXICACAO OU ENVENENAMENTO POR EXPOSICAO A MEDICAMENTO E SUBSTANCIAS DE USO NAO MEDICINAL                                                                                                                                                 "
"03";"08";"03";"0308030010";"TRATAMENTO DE EFEITOS DA PENETRACAO DE CORPO ESTRANHO EM ORIFICIO NATURAL                                                                                                                                                                                 "
"03";"08";"03";"0308030028";"TRATAMENTO DE EFEITOS DE OUTRAS CAUSAS EXTERNAS                                                                                                                                                                                                           "
"03";"08";"03";"0308030036";"TRATAMENTO DE QUEIMADURAS CORROSOES E GELADURAS                                                                                                                                                                                                           "
"03";"08";"04";"0308040015";"TRATAMENTO DE COMPLICACOES DE PROCEDIMENTOS CIRURGICOS OU CLINICOS                                                                                                                                                                                        "
"03";"08";"04";"0308040023";"TRATAMENTO DE EVENTOS ADVERSOS POS-VACINAIS                                                                                                                                                                                                               "
"03";"09";"01";"0309010039";"GASTROSTOMIA ENDOSCOPICA PERCUTANEA (INCLUI MATERIAL E SEDACAO ANESTESICA)                                                                                                                                                                                "
"03";"09";"01";"0309010047";"NUTRIÇÃO ENTERAL EM ADULTO                                                                                                                                                                                                                                "
"03";"09";"01";"0309010055";"NUTRICAO ENTERAL EM NEONATOLOGIA                                                                                                                                                                                                                          "
"03";"09";"01";"0309010063";"NUTRIÇÃO ENTERAL EM PEDIATRIA                                                                                                                                                                                                                             "
"03";"09";"01";"0309010071";"NUTRICAO PARENTERAL EM ADULTO                                                                                                                                                                                                                             "
"03";"09";"01";"0309010080";"NUTRICAO PARENTERAL EM NEONATOLOGIA                                                                                                                                                                                                                       "
"03";"09";"01";"0309010098";"NUTRIÇÃO PARENTERAL EM PEDIATRIA                                                                                                                                                                                                                          "
"03";"09";"01";"0309010101";"PASSAGEM DE SONDA NASO ENTERICA (INCLUI MATERIAL)                                                                                                                                                                                                         "
"03";"09";"02";"0309020018";"HIPERSENSIBILIZACAO ESPECIFICA (POR TRATAMENTO COMPLETO)                                                                                                                                                                                                  "
"03";"09";"02";"0309020026";"HIPOSENSIBILIZACAO C/ PRODUTOS AUTOGENOS (POR TRATAMENTO COMPLETO)                                                                                                                                                                                        "
"03";"09";"02";"0309020034";"HIPOSENSIBILIZACAO INESPECIFICA (POR TRATAMENTO COMPLETO)                                                                                                                                                                                                 "
"03";"09";"03";"0309030013";"CATETERISMO EVACUADOR DE BEXIGA                                                                                                                                                                                                                           "
"03";"09";"03";"0309030021";"CATETERISMO DE CANAIS EJACULADORES                                                                                                                                                                                                                        "
"03";"09";"03";"0309030030";"CAUTERIZACAO QUIMICA DE BEXIGA                                                                                                                                                                                                                            "
"03";"09";"03";"0309030048";"CRIOCAUTERIZACAO / ELETROCOAGULACAO DE COLO DE UTERO                                                                                                                                                                                                      "
"03";"09";"03";"0309030056";"DILATACAO DE URETRA (POR SESSAO)                                                                                                                                                                                                                          "
"03";"09";"03";"0309030064";"DILATACAO ENDOSCOPICA UNI / BILATERAL                                                                                                                                                                                                                     "
"03";"09";"03";"0309030072";"HIDROTUBACAO (POR TRATAMENTO COMPLETO)                                                                                                                                                                                                                    "
"03";"09";"03";"0309030080";"INSTILACAO DE BEXIGA                                                                                                                                                                                                                                      "
"03";"09";"03";"0309030099";"INSTILACAO DE URETRA E BEXIGA                                                                                                                                                                                                                             "
"03";"09";"03";"0309030102";"LITOTRIPSIA EXTRACORPOREA (ONDA DE CHOQUE - TRATATAMENTO SUBSEQUENTE EM 1 REGIAO RENAL)                                                                                                                                                                   "
"03";"09";"03";"0309030110";"LITOTRIPSIA EXTRACORPOREA (ONDA DE CHOQUE - TRATATAMENTO SUBSEQUENTE EM 2 REGIOES RENAIS)                                                                                                                                                                 "
"03";"09";"03";"0309030129";"LITOTRIPSIA EXTRACORPOREA (ONDA DE CHOQUE PARCIAL / COMPLETA EM 1 REGIAO RENAL)                                                                                                                                                                           "
"03";"09";"03";"0309030137";"LITOTRIPSIA EXTRACORPOREA (ONDA DE CHOQUE PARCIAL / COMPLETA EM 2 REGIOES RENAIS)                                                                                                                                                                         "
"03";"09";"03";"0309030145";"MASSAGEM DE PROSTATA (POR SESSAO)                                                                                                                                                                                                                         "
"03";"09";"03";"0309030153";"PERSUFLACAO P/ DESOBSTRUCAO TUBARIA (POR TRATAMENTO COMPLETO)                                                                                                                                                                                             "
"03";"09";"04";"0309040019";"AVALIACAO DE MARCAPASSO                                                                                                                                                                                                                                   "
"03";"09";"04";"0309040027";"CARDIOVERSAO ELETRICA                                                                                                                                                                                                                                     "
"03";"09";"05";"0309050014";"SESSAO DE ACUPUNTURA APLICACAO DE VENTOSAS / MOXA                                                                                                                                                                                                         "
"03";"09";"05";"0309050022";"SESSAO DE ACUPUNTURA COM INSERCAO DE AGULHAS                                                                                                                                                                                                              "
"03";"09";"05";"0309050030";"SESSÃO DE ELETROESTIMULAÇÃO                                                                                                                                                                                                                               "
"03";"09";"05";"0309050049";"SESSÃO DE AURICULOTERAPIA                                                                                                                                                                                                                                 "
"03";"09";"05";"0309050057";"SESSÃO DE MASSOTERAPIA                                                                                                                                                                                                                                    "
"03";"09";"05";"0309050065";"TRATAMENTO TERMAL/CRENOTERÁPICO                                                                                                                                                                                                                           "
"03";"09";"05";"0309050073";"TRATAMENTO NATUROPÁTICO                                                                                                                                                                                                                                   "
"03";"09";"05";"0309050081";"TRATAMENTO OSTEOPÁTICO                                                                                                                                                                                                                                    "
"03";"09";"05";"0309050090";"TRATAMENTO QUIROPRÁTICO                                                                                                                                                                                                                                   "
"03";"09";"05";"0309050111";"SESSÃO DE APITERAPIA                                                                                                                                                                                                                                      "
"03";"09";"05";"0309050120";"SESSÃO DE AROMATERAPIA                                                                                                                                                                                                                                    "
"03";"09";"05";"0309050138";"SESSÃO DE CROMOTERAPIA                                                                                                                                                                                                                                    "
"03";"09";"05";"0309050146";"SESSÃO DE GEOTERAPIA                                                                                                                                                                                                                                      "
"03";"09";"05";"0309050154";"SESSÃO DE HIPNOTERAPIA                                                                                                                                                                                                                                    "
"03";"09";"05";"0309050162";"SESSÃO DE IMPOSIÇÃO DE MÃOS                                                                                                                                                                                                                               "
"03";"09";"05";"0309050170";"SESSÃO DE OZONIOTERAPIA APLICADA À ODONTOLOGIA                                                                                                                                                                                                            "
"03";"09";"05";"0309050189";"SESSÃO DE TERAPIA DE FLORAIS                                                                                                                                                                                                                              "
"03";"09";"05";"0309050197";"TRATAMENTO HOMEOPÁTICO                                                                                                                                                                                                                                    "
"03";"09";"05";"0309050200";"TRATAMENTO FITOTERÁPICO                                                                                                                                                                                                                                   "
"03";"09";"05";"0309050219";"TRATAMENTO ANTROPOSÓFICO                                                                                                                                                                                                                                  "
"03";"09";"05";"0309050227";"TRATAMENTO AYURVÉDICO                                                                                                                                                                                                                                     "
"03";"09";"05";"0309050235";"TRATAMENTO EM MEDICINA TRADICIONAL CHINESA                                                                                                                                                                                                                "
"03";"09";"06";"0309060010";"INSTALAÇÃO DE CATETER DUPLO LUMEN POR PUNÇÃO                                                                                                                                                                                                              "
"03";"09";"06";"0309060036";"INSTALACAO DE CATETER MONO LUMEN POR PUNCAO                                                                                                                                                                                                               "
"03";"09";"07";"0309070015";"TRATAMENTO ESCLEROSANTE NÃO ESTÉTICO DE VARIZES DOS MEMBROS INFERIORES (UNILATERAL)                                                                                                                                                                       "
"03";"09";"07";"0309070023";"TRATAMENTO ESCLEROSANTE NÃO ESTÉTICO DE VARIZES DOS MEMBROS INFERIORES (BILATERAL)                                                                                                                                                                        "
"03";"10";"01";"0310010012";"ASSISTÊNCIA AO PARTO SEM DISTOCIA                                                                                                                                                                                                                         "
"03";"10";"01";"0310010020";"ATENDIMENTO AO RECEM-NASCIDO NO MOMENTO DO NASCIMENTO                                                                                                                                                                                                     "
